Studio,Start time,,Classes,Teacher,Location,Duration
Steps on Broadway,9:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087978&classDate=2/21/2024&clsLoc=1,In-Studio Open Yoga for Dancers,Lauren Marsaglia (5),Steps on Broadway,1 hour
Steps on Broadway,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086082&classDate=2/21/2024&clsLoc=1,In-Studio Open Pilates,Stephanie Ross,Steps on Broadway,1 hour
Steps on Broadway,4:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147086930&classDate=2/21/2024&clsLoc=1,In-Studio Alignment Floor Work,Lonne Moretton,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,10:00 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087813&classDate=2/21/2024&clsLoc=1,In-Studio Adv/Beg Tap,Kat Ponza,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,11:45 am EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087105&classDate=2/21/2024&clsLoc=1,In-Studio Basic Tap,Yuka Kameda,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,12:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085506&classDate=2/21/2024&clsLoc=1,In-Studio Beg Tap,Germaine Goodson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087106&classDate=2/21/2024&clsLoc=1,In-Studio Int Tap,Shelby Kaufman,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085507&classDate=2/21/2024&clsLoc=1,In-Studio Adv/Beg Tap,Germaine Goodson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,3:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085509&classDate=2/21/2024&clsLoc=1,In-Studio Basic Tap,Germaine Goodson,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085565&classDate=2/21/2024&clsLoc=1,In-Studio Beg Tap,Lynn Schwab,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,6:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087325&classDate=2/21/2024&clsLoc=1,In-Studio Int/Adv Tap,Tommy Wasiuta,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,7:30 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087335&classDate=2/21/2024&clsLoc=1,In-Studio Basic Tap,Yukari Ikegaya,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,1:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087710&classDate=2/21/2024&clsLoc=1,In-Studio Int Theater Dance,Andrew Winans (6),Steps on Broadway,1 hour &30 minutes
Steps on Broadway,2:45 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085567&classDate=2/21/2024&clsLoc=1,In-Studio Adv/Beg Theater Jazz,Krystyna Resavy,Steps on Broadway,1 hour &30 minutes
Steps on Broadway,5:00 pm EST,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087002&classDate=2/21/2024&clsLoc=1,In-Studio Adv/Int Theater Jazz,Sarah Shaw (7),Steps on Broadway,1 hour &30 minutes
